ssf1_Branch-Protection,ssf3_CII-Best-Practices,ssf7_Dependency-Update-Tool,ssf8_Fuzzing,ssf13_SAST
0.8,0.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0
0.3,0.2,1.0,1.0,0.0
0.3,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0
0.3,0.0,0.0,0.0,0.0
0.8,0.0,1.0,0.0,0.9
0.3,0.0,1.0,1.0,0.0
0.6000000000000001,0.0,1.0,0.0,0.0
0.3,0.0,1.0,1.0,1.0
0.7849177882456242,0.0,0.0,0.0,0.9
0.3,0.0,1.0,0.0,0.0
0.3,0.0,1.0,0.0,0.0
0.0,0.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0
0.26219766302961056,0.0,1.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0
0.3,0.0,1.0,0.0,0.0
0.0,0.0,1.0,0.0,0.0
0.2564150139422001,0.0,0.0,0.0,0.6871699721155998
0.2,0.0,1.0,0.0,0.0
0.0,0.0,1.0,0.0,1.0
0.3,0.0,1.0,0.0,0.0
0.3,0.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.7000000000000001
0.6000000000000001,0.0,0.0,0.0,1.0
0.3,0.0,0.0,0.0,0.0
0.6000000000000001,0.0,0.0,0.0,0.0
0.8,0.0,1.0,0.0,0.7000000000000001
0.3,0.0,1.0,0.0,0.5
0.3,0.0,1.0,0.0,0.9
0.0,0.0,0.0,0.0,0.7000000000000001
0.8,0.0,1.0,0.0,1.0
0.0,0.0,1.0,0.0,1.0
0.3,0.0,1.0,0.0,0.0
0.8,0.0,1.0,0.0,1.0
0.3,0.0,0.0,0.0,0.6000000000000001
0.3,0.0,1.0,1.0,0.9
0.6000000000000001,0.0,1.0,0.0,0.7000000000000001
0.3,0.0,1.0,0.0,0.0
0.6798006102110946,0.0,1.0,0.0,0.8201993897889055
0.1,0.0,1.0,0.0,0.0
0.6000000000000001,0.0,1.0,0.0,1.0
0.8,0.0,1.0,1.0,0.0
0.1,0.0,0.0,1.0,0.0
0.05842945675272707,0.0,0.0,0.0,0.0
0.4,0.0,1.0,0.0,0.9
0.3,0.0,1.0,1.0,0.0
0.8,0.0,1.0,0.0,0.9
0.3,0.0,1.0,1.0,0.0
0.3,0.0,0.0,0.0,0.0
0.1,0.0,1.0,0.0,0.0
0.8,0.0,1.0,0.0,0.0
0.1,0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0,0.0
0.1,0.0,1.0,0.0,0.0
0.29157621111791865,0.0,1.0,0.0,0.9915762111179187
0.8,0.0,1.0,0.0,0.0
0.8,0.0,1.0,0.0,0.0
0.3,0.0,1.0,0.0,0.0
0.8,0.0,0.0,0.0,1.0
0.1,0.0,1.0,0.0,0.0
0.0,0.14240219032536308,1.0,0.0,1.0
0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0
0.8,0.0,1.0,0.0,0.0
0.1,0.0,1.0,1.0,0.8
0.3,0.0,0.0,0.0,0.0
0.3,0.0,1.0,0.0,0.0
0.8,0.0,1.0,0.0,0.9
0.0,0.2,1.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0
0.6754551816586196,0.0,1.0,0.0,0.0
0.0,0.0,1.0,0.0,0.0
0.8,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0
0.0,0.14414208327884026,1.0,0.0,0.9
0.3,0.0,1.0,1.0,0.0
0.3,0.0,1.0,1.0,0.0
0.8,0.0,1.0,0.0,0.8
0.1,0.0,1.0,0.0,0.7000000000000001
0.0,0.0,1.0,0.0,1.0
0.3,0.0,1.0,0.0,0.8
0.8,0.0,0.0,0.0,0.9
0.1,0.0,1.0,0.0,0.0
0.3,0.0,1.0,0.0,1.0
0.6000000000000001,0.0,0.0,0.0,0.0
0.1,0.0,1.0,0.0,0.0
0.6000000000000001,0.0,1.0,0.0,0.0
0.6000000000000001,0.0,1.0,0.0,1.0
0.5,0.2,1.0,0.0,1.0
0.0,0.2,1.0,0.0,0.9
0.3,0.0,1.0,0.0,0.7000000000000001
0.1,0.0,0.0,0.0,0.0
0.8,0.0,1.0,1.0,0.0
0.1,0.0,1.0,0.0,0.0
0.3,0.0,0.0,0.0,0.0
0.6000000000000001,0.2,1.0,0.0,1.0
0.6000000000000001,0.0,1.0,1.0,1.0
1.0,0.0,1.0,1.0,0.7000000000000001
0.1,0.0,1.0,0.0,1.0
0.0,0.0,1.0,0.0,0.0
0.0,0.0,1.0,0.0,0.7000000000000001
0.0,0.0,1.0,0.0,1.0
0.0,0.0,1.0,1.0,0.0
0.3,0.0,1.0,0.0,0.0
0.27116992271581636,0.47116992271581637,1.0,0.0,1.0
0.0,0.13105361919497419,1.0,0.0,0.9
0.3,0.0,1.0,0.0,0.0
0.0,0.0,1.0,0.0,0.0
0.3,0.0,1.0,0.0,0.7000000000000001
0.3,0.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.5,0.0,1.0,0.0,0.0
0.8,0.0,1.0,0.0,0.0
0.3,0.0,1.0,0.0,0.0
0.6000000000000001,0.0,1.0,1.0,0.0
0.8,0.0,1.0,0.0,1.0
0.3,0.0,1.0,1.0,0.0
0.8,1.0,1.0,0.0,0.0
0.0,0.0,1.0,0.0,0.7000000000000001
0.3,0.5,1.0,0.0,1.0
0.0,0.0,0.0,0.0,0.8
0.0,0.0,0.0,0.0,1.0
0.3,0.0,1.0,0.0,1.0
0.8,0.0,0.0,0.0,0.0
0.3,0.0,1.0,0.0,0.3
0.6000000000000001,0.0,1.0,1.0,1.0
0.3,0.0,1.0,1.0,1.0
0.3,0.0,1.0,1.0,0.0
0.0,0.0,1.0,0.0,0.9661502849922071
0.0,0.0,0.0,0.0,0.0
0.8,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,0.9
0.46516776995740583,0.0,1.0,0.0,0.0
0.0,0.0,1.0,1.0,0.0
0.0,0.04476102590807804,1.0,0.0,1.0
0.8,0.0,1.0,0.0,0.0
0.0,0.0,1.0,0.0,0.0
0.0,0.0,1.0,0.0,1.0
0.3,0.0,1.0,1.0,0.0
0.3,0.0,1.0,1.0,0.0
0.3,0.0,0.0,0.0,0.0
0.3,0.0,1.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0
0.1,0.0,1.0,0.0,0.0
0.3,0.0,1.0,1.0,0.0
0.3,0.0,1.0,0.0,0.0
0.8,0.0,0.0,0.0,0.0
0.8,0.0,0.0,0.0,1.0
0.3,0.0,1.0,0.0,0.0
0.6000000000000001,0.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.3,0.2,1.0,0.0,0.9
0.8,0.0,0.0,0.0,0.0
0.6000000000000001,0.0,1.0,1.0,0.0
0.3,0.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,0.9
0.0,0.2,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,1.0,0.0
0.3,0.0,1.0,0.0,1.0
0.1,0.0,1.0,1.0,0.0
0.2,0.0,0.0,0.0,1.0
0.6000000000000001,0.0,0.0,0.0,0.0
0.5,0.0,0.0,0.0,0.0
0.0848889446253694,0.0,1.0,0.0,0.0
0.3,0.0,1.0,0.0,0.9
0.8,0.5,1.0,0.0,1.0
0.4,0.0,1.0,0.0,0.0
0.1,0.0,1.0,0.0,0.7000000000000001
0.0,0.0,1.0,0.0,0.0
0.0,0.0,1.0,0.0,1.0
0.8,0.5,1.0,1.0,1.0
0.6000000000000001,0.5,1.0,0.0,0.8
0.3,0.0,0.0,0.0,0.0
0.21241806041026062,0.0,0.0,0.0,0.0
0.3,0.0,1.0,0.0,0.7000000000000001
0.0,0.0,1.0,0.0,1.0
0.6000000000000001,0.0,0.0,0.0,0.0
0.6000000000000001,0.0,1.0,0.0,0.9
0.8,0.0,1.0,0.0,0.9
0.2,0.0,1.0,0.0,0.9
0.3,0.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.8,0.0,1.0,0.0,0.0
0.6000000000000001,0.0,1.0,0.0,0.0
0.3,0.0,1.0,0.0,0.0
0.1,0.0,1.0,0.0,0.0
0.8,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.3,0.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.3,0.0,1.0,0.0,0.0
0.2,0.0,1.0,0.0,0.0
0.8,0.0,0.0,0.0,0.0
0.6145284152297097,0.0,1.0,0.0,0.0
0.0,0.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0
0.1,0.0,1.0,0.0,0.0
0.3,0.0,0.0,0.0,0.0
0.8,0.0,1.0,0.0,1.0
0.6000000000000001,0.0,1.0,0.0,0.0
0.8,0.0,1.0,0.0,1.0
0.8,0.0,0.0,0.0,0.9
0.8,1.0,1.0,0.0,1.0
0.872100923185462,0.0,1.0,1.0,0.2523532311491166
0.8,0.0,0.0,0.0,0.0
0.8,0.0,0.0,0.0,0.3
0.3,0.0,1.0,0.0,0.0
0.0,0.0,0.0,1.0,1.0
0.0,0.0,0.0,0.0,0.0
0.3,0.5,0.0,1.0,0.0
0.1,0.0,0.0,0.0,1.0
0.3,0.0,1.0,0.0,0.0
0.8,0.0,1.0,0.0,0.7000000000000001
0.8,0.0,1.0,0.0,1.0
0.6000000000000001,0.0,1.0,1.0,0.0
0.4,0.0,1.0,0.0,0.3
0.6000000000000001,0.0,0.0,0.0,0.8
0.7000000000000001,0.5,1.0,1.0,0.0
0.8,0.0,1.0,0.0,0.0
0.3,0.0,1.0,1.0,0.0
0.3,0.0,1.0,1.0,0.0
0.3,0.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,0.9
0.1,0.0,0.0,0.0,0.0
0.8,0.0,1.0,0.0,0.9
0.0,0.0,0.0,0.0,0.0
0.8,0.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,0.0
0.6000000000000001,0.0,1.0,0.0,1.0
0.1,0.0,1.0,0.0,0.8
0.4,0.0,1.0,0.0,0.9
0.3,0.0,1.0,0.0,1.0
0.0,0.0,1.0,0.0,1.0
0.3,0.0,1.0,0.0,0.0
0.0,0.0,1.0,0.0,0.0
0.3,0.0,1.0,1.0,0.0
0.6000000000000001,0.0,1.0,0.0,0.0
0.3,0.0,1.0,1.0,0.0
0.1,0.0,1.0,0.0,0.0
