ssf7_Dependency-Update-Tool,ssf8_Fuzzing,ssf9_License,ssf10_Maintained,ssf13_SAST
0.0,0.0,1.0,0.0,0.0
0.0,0.0,0.987821835540388,1.0,0.0
1.0,1.0,0.9811912826942063,1.0,0.0
1.0,0.0,0.9,1.0,0.7000000000000001
0.0,0.0,0.9,1.0,0.0
1.0,0.0,1.0,0.10912882512551061,0.8091288251255107
1.0,1.0,0.9882679916030559,1.0,0.0
1.0,1.0,0.97052383302183,1.0,0.0
1.0,0.0,1.0,1.0,0.0
1.0,0.0,1.0,1.0,0.0
1.0,0.0,1.0,1.0,0.0
1.0,0.0,1.0,0.2820926174207187,0.0
1.0,0.0,1.0,1.0,0.0
1.0,0.0,1.0,0.5101140779080224,0.0
1.0,0.0,1.0,0.0,1.0
0.0,0.0,0.9688070929486167,1.0,0.0
0.0,1.0,1.0,1.0,0.0
1.0,0.0,1.0,0.9837280785212912,0.0
1.0,1.0,1.0,1.0,0.0
0.0,0.0,0.9,1.0,0.0
1.0,0.0,1.0,1.0,0.0
1.0,0.0,1.0,1.0,0.0
1.0,0.0,1.0,1.0,0.7000000000000001
1.0,0.0,1.0,0.0,0.7000000000000001
1.0,0.0,1.0,0.6418608066711087,0.0
0.0,1.0,1.0,0.0,0.8
1.0,1.0,1.0,1.0,0.0
0.0,0.0,1.0,1.0,0.0
1.0,0.0,0.9881534171637891,1.0,0.7236931656724217
1.0,0.0,1.0,1.0,0.0
1.0,0.0,1.0,1.0,0.7000000000000001
1.0,1.0,1.0,1.0,0.0
1.0,1.0,1.0,1.0,0.0
1.0,0.0,0.9,1.0,0.0
1.0,0.0,1.0,1.0,0.7000000000000001
1.0,0.0,1.0,1.0,0.0
0.0,0.0,1.0,0.0,0.0
1.0,0.0,1.0,1.0,1.0
1.0,0.0,1.0,0.0,0.0
1.0,0.0,1.0,1.0,0.0
1.0,0.0,1.0,1.0,0.9
1.0,0.0,0.9,1.0,0.0
1.0,0.0,1.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,0.8
0.0,0.0,1.0,1.0,0.0
1.0,0.0,0.9,0.4,0.0
1.0,0.0,0.9228565942241141,1.0,0.9228565942241141
1.0,0.0,1.0,0.3544730143889769,0.2037377798554324
0.0,0.0,1.0,1.0,0.18131194609431078
1.0,1.0,1.0,1.0,0.0
1.0,0.0,1.0,1.0,1.0
1.0,0.0,1.0,1.0,1.0
1.0,0.0,1.0,1.0,0.0
1.0,0.0,1.0,0.962843746343252,1.0
1.0,0.0,0.9,1.0,1.0
0.0,1.0,0.9,1.0,1.0
1.0,0.0,1.0,1.0,0.0
1.0,1.0,1.0,0.0,0.0
0.0,0.0,1.0,1.0,0.0
0.0,0.0,1.0,1.0,0.0
1.0,0.0,1.0,1.0,0.0
1.0,0.0,1.0,1.0,1.0
1.0,0.0,1.0,1.0,1.0
1.0,0.0,1.0,1.0,1.0
0.0,1.0,1.0,1.0,0.0
1.0,1.0,0.9,0.0,0.0
1.0,1.0,0.9,1.0,0.0
0.0,0.0,1.0,1.0,1.0
1.0,0.0,0.9,1.0,1.0
1.0,1.0,1.0,1.0,0.0
0.0,0.0,1.0,1.0,0.0
1.0,0.0,1.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0
1.0,0.0,1.0,1.0,0.0
0.0,0.0,0.9,1.0,1.0
1.0,0.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0
1.0,0.0,1.0,1.0,0.0
1.0,0.0,1.0,1.0,0.0
0.0,0.0,1.0,0.7479473184487351,0.9054802444182757
1.0,0.0,0.9,1.0,0.3
1.0,1.0,1.0,0.6000000000000001,0.0
1.0,0.0,0.9,1.0,0.0
1.0,0.0,0.9,1.0,0.0
0.0,0.0,0.9,1.0,0.0
0.0,0.0,1.0,0.0,0.0
1.0,0.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,0.0
1.0,0.0,0.9,1.0,0.0
1.0,0.0,1.0,1.0,1.0
1.0,0.0,1.0,1.0,0.7000000000000001
0.0,1.0,1.0,1.0,0.8
1.0,0.0,1.0,0.0,0.0
1.0,0.0,1.0,1.0,0.0
1.0,0.0,1.0,1.0,1.0
1.0,0.0,1.0,0.7248942295341515,0.0
0.0,0.0,0.9747333559747579,1.0,1.0
1.0,0.0,1.0,1.0,0.0
1.0,1.0,0.9,0.0,0.0
1.0,0.0,1.0,1.0,0.0
0.0,0.0,1.0,1.0,0.05601261232922483
1.0,0.0,0.901754977308195,0.998245022691805,0.901754977308195
0.0,0.0,0.9,0.4,0.9
1.0,0.0,0.9,1.0,0.0
1.0,1.0,1.0,1.0,0.0
0.0,0.0,1.0,1.0,0.0
1.0,0.0,1.0,0.9,1.0
1.0,0.0,0.9,1.0,1.0
0.0,0.0,1.0,0.11003525547784357,0.07024678834490494
1.0,1.0,0.9654922602483533,1.0,0.0
1.0,0.0,1.0,1.0,1.0
1.0,0.0,1.0,0.6000000000000001,0.8
1.0,0.0,1.0,1.0,0.0
0.0,0.0,0.9,0.0,0.0
1.0,0.0,1.0,1.0,0.0
0.0,0.0,0.964905615443078,1.0,0.0
0.0,0.0,0.9951603082129203,1.0,0.0
0.0,0.0,1.0,1.0,1.0
1.0,0.0,1.0,0.9468019624191939,1.0
1.0,0.0,1.0,1.0,0.0
1.0,0.0,1.0,1.0,0.0
1.0,1.0,0.9,1.0,0.7000000000000001
1.0,0.0,1.0,1.0,0.0
1.0,0.0,1.0,1.0,0.0
1.0,0.0,1.0,1.0,0.7000000000000001
1.0,0.0,1.0,1.0,0.0
1.0,0.0,1.0,1.0,0.0
1.0,0.0,1.0,0.7814685402679491,1.0
1.0,0.4375144572957541,1.0,0.16874566281127376,0.8687456628112737
0.6994662305225953,0.0,1.0,1.0,1.0
1.0,0.0,1.0,0.0,0.7000000000000001
1.0,0.0,1.0,1.0,0.0
1.0,0.0,1.0,1.0,1.0
1.0,0.0,0.9,0.1,0.0
1.0,0.0,1.0,1.0,1.0
1.0,0.0,1.0,1.0,0.0
1.0,0.0,1.0,0.854720716930067,1.0
1.0,1.0,1.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.9,1.0,0.9
0.0,0.0,1.0,0.8591866298018839,0.9471949861757064
1.0,1.0,1.0,1.0,0.0
0.0,0.0,0.9278850078536746,1.0,0.0
0.0,1.0,1.0,1.0,0.0
0.0,0.223352656355308,0.9,1.0,1.0
1.0,0.0,1.0,1.0,0.0
1.0,1.0,1.0,1.0,0.0
1.0,0.0,0.9,1.0,1.0
1.0,0.0,1.0,1.0,0.8
0.0,0.0,1.0,0.0,0.0
1.0,0.0,1.0,0.7000000000000001,0.8
0.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,1.0,0.0
0.0,0.0,1.0,0.4,0.0
1.0,1.0,1.0,1.0,0.7089801274956624
1.0,0.0,0.9328856446589286,1.0,0.7000000000000001
1.0,0.0,1.0,1.0,1.0
0.0,1.0,1.0,0.5,0.0
0.0,0.0,1.0,1.0,0.0
1.0,0.0,1.0,1.0,0.0
0.0,0.0,1.0,1.0,0.4315862605983257
1.0,0.0,1.0,0.0,0.0
1.0,0.0,1.0,1.0,1.0
1.0,0.0,1.0,1.0,0.0
0.0,0.0,0.9047297775504096,0.04729777550409653,1.0
1.0,0.0,1.0,1.0,1.0
0.0,0.0,0.9,0.0,1.0
1.0,1.0,1.0,1.0,0.8
1.0,0.0,1.0,1.0,0.0
1.0,1.0,1.0,1.0,0.0
0.0,0.0,0.9962686423801987,0.0962686423801987,0.03731357619801312
1.0,0.0,1.0,1.0,0.0
1.0,1.0,1.0,1.0,0.0
0.0,0.0,0.9,1.0,0.0
1.0,1.0,1.0,1.0,1.0
1.0,0.0,1.0,1.0,0.0
0.0,0.0,0.9,1.0,1.0
1.0,0.0,1.0,1.0,0.9
1.0,0.0,1.0,1.0,0.0
1.0,0.0,0.9126375047171971,1.0,0.2620874858484089
1.0,0.0,1.0,0.5,0.0
0.0,0.0,0.962089461912076,1.0,0.0
1.0,0.0,0.9159439529945927,0.9840560470054073,0.9159439529945927
1.0,0.0,1.0,1.0,0.9741106835469102
1.0,1.0,0.9,1.0,0.0
1.0,1.0,1.0,1.0,0.0
1.0,0.0,1.0,1.0,0.0
1.0,0.0,1.0,1.0,0.0
1.0,0.0,1.0,1.0,0.0
1.0,1.0,1.0,1.0,0.0
1.0,0.5133096752285246,1.0,1.0,0.0
0.0,0.0,0.9,0.6000000000000001,0.0
1.0,0.0,0.9,1.0,0.9
1.0,0.0,1.0,1.0,0.0
0.0,0.03858401406827272,1.0,1.0,0.0
0.0,1.0,1.0,1.0,0.0
0.0,0.0,1.0,0.0,0.9
0.0,0.0,1.0,1.0,0.0
1.0,0.0,0.9858088096313872,1.0,0.9574264288941615
1.0,0.0,1.0,0.00699662242262078,0.0
1.0,0.0,1.0,0.9164259914354184,1.0
1.0,0.0,0.9,1.0,1.0
1.0,0.0,1.0,1.0,0.7000000000000001
1.0,0.0,1.0,0.0,0.5
0.0,1.0,0.9706114040255438,1.0,0.29388595974456233
0.0,0.0,1.0,0.0,0.0
1.0,0.0,1.0,1.0,0.0
1.0,0.0,1.0,1.0,1.0
0.0,0.0,0.9773629892309451,1.0,1.0
1.0,0.0,1.0,0.9153002062304508,0.7000000000000001
1.0,0.0,0.9053299729668424,1.0,0.7000000000000001
0.0,0.0,1.0,1.0,1.0
0.0,0.0,0.9975033734018364,1.0,1.0
1.0,0.0,0.9987299381667849,0.9012700618332151,0.9987299381667849
1.0,1.0,0.9,1.0,0.0
1.0,0.0,1.0,1.0,0.0
0.0,1.0,1.0,1.0,0.0
1.0,0.0,1.0,0.0,0.0
1.0,0.0,1.0,0.6526985980396054,0.0
1.0,0.0,0.9,1.0,0.0
1.0,0.0,1.0,1.0,0.0
0.0,0.0,1.0,0.0,0.7000000000000001
1.0,0.0,1.0,0.0,1.0
1.0,0.0,1.0,1.0,0.0
1.0,0.0,0.900156600880137,1.0,0.2995301973595888
1.0,1.0,1.0,1.0,0.0
1.0,0.0,1.0,1.0,0.0
1.0,0.0,0.9619209226910799,1.0,0.7761581546178404
1.0,0.0,0.9398293440166559,1.0,0.7000000000000001
1.0,0.0,1.0,1.0,0.0
1.0,0.0,1.0,1.0,0.0
0.0,0.0,1.0,0.31140414341175515,0.0
1.0,0.0,1.0,1.0,0.0
0.0,0.014757243161893419,1.0,1.0,0.0
1.0,0.0,1.0,1.0,0.0
1.0,0.0,1.0,1.0,0.9667644262569466
0.0,0.0,1.0,1.0,0.681024007291739
0.0,0.0,1.0,0.20878307287662157,0.7032936523287332
1.0,0.0,1.0,1.0,0.9
1.0,0.0,0.9,1.0,0.0
1.0,0.0,1.0,0.3,1.0
1.0,0.0,1.0,1.0,0.0
0.0,0.0,1.0,0.1,0.0
1.0,0.0,1.0,1.0,0.0
1.0,0.0,1.0,0.4401919346014484,0.0
1.0,0.0,1.0,1.0,1.0
1.0,1.0,0.9,1.0,0.0
0.0,0.0,1.0,0.0,0.0
1.0,0.0,1.0,1.0,0.0
1.0,0.0,0.9,0.6000000000000001,0.0
1.0,0.0,1.0,1.0,0.8
1.0,0.0,1.0,1.0,1.0
0.0,0.0,1.0,1.0,0.0
1.0,0.0,1.0,0.0,0.0
1.0,0.0,0.9,1.0,0.9
1.0,0.0,1.0,1.0,0.0
0.0,0.0,1.0,0.0,0.8
1.0,0.0,1.0,1.0,0.0
1.0,0.0,1.0,1.0,0.0
0.0,0.0,0.9517177822648542,1.0,0.0
1.0,0.0,1.0,1.0,1.0
1.0,0.0,0.9679669161812837,0.9320330838187163,0.9679669161812837
1.0,0.0,0.9,1.0,0.9
1.0,0.0,1.0,1.0,0.7000000000000001
0.0,0.0,0.9962532704274087,1.0,0.0
1.0,0.0,1.0,1.0,0.0
1.0,0.0,1.0,1.0,0.0
1.0,1.0,1.0,1.0,0.0
1.0,1.0,1.0,1.0,0.0
0.0,0.0,1.0,1.0,0.0
1.0,1.0,0.9721622948111417,1.0,0.0
0.0,0.0,1.0,0.5,1.0
1.0,1.0,0.9361773624980707,1.0,0.0
1.0,0.0,0.9,0.0,0.7000000000000001
1.0,1.0,1.0,1.0,0.0
1.0,0.0,1.0,0.8427234309925378,1.0
1.0,0.0014424182797982965,1.0,1.0,1.0
1.0,0.0,1.0,1.0,0.0
1.0,0.0,1.0,1.0,0.0
1.0,0.0,0.9,0.0,0.8
0.0,1.0,0.9,1.0,0.0
1.0,0.0,1.0,0.8975466097488594,0.0
0.0,0.0,0.9410642883274462,1.0,0.0
1.0,0.0,1.0,1.0,0.0
1.0,0.0,1.0,0.1,0.0
1.0,0.0,0.9,0.7000000000000001,0.7000000000000001
0.0,0.0,0.9285183881696762,1.0,0.0
0.0,0.0,0.9,0.0,0.0
1.0,0.0,1.0,1.0,0.8
1.0,0.0,1.0,1.0,0.9
1.0,0.0,1.0,1.0,0.9
0.0,0.0,0.9571338363344657,0.5429293093242746,0.828598490996603
1.0,0.0,0.9,1.0,0.9
1.0,0.0,1.0,1.0,0.0
0.0,0.0,1.0,0.0,0.0
1.0,0.0,1.0,1.0,0.7000000000000001
1.0,0.0,0.9,1.0,0.0
0.0,0.0,1.0,1.0,1.0
0.0,0.0,1.0,1.0,0.0
0.0,0.0,0.0,1.0,0.0
1.0,0.0,0.9,1.0,0.1
0.0,0.0,1.0,0.0,0.0
0.0,0.0,0.9522721034816235,1.0,0.0
0.0,0.0,0.9973787557954401,1.0,1.0
1.0,0.0,1.0,1.0,0.7000000000000001
1.0,0.0,1.0,0.19665075318932174,0.7655502510631073
0.0,0.9294797201498954,0.9070520279850105,1.0,1.0
1.0,0.0,1.0,1.0,0.0
1.0,1.0,1.0,0.0,0.7000000000000001
0.0,0.0,1.0,1.0,0.0
1.0,0.0,1.0,1.0,0.0
1.0,1.0,1.0,0.0,0.0
1.0,0.0,1.0,1.0,0.0
1.0,1.0,1.0,0.9336357117427837,0.046455001780051464
1.0,0.0,1.0,1.0,0.0
1.0,0.0,1.0,1.0,0.0
1.0,0.0,1.0,1.0,0.0
1.0,1.0,0.9,1.0,0.0
1.0,0.0,1.0,0.8592785496815718,0.0
1.0,1.0,1.0,1.0,0.0
0.0,0.0,1.0,0.2,0.0
1.0,1.0,1.0,1.0,0.0
0.0,0.0,1.0,1.0,0.6000000000000001
1.0,1.0,0.9,1.0,0.0
1.0,0.0,1.0,0.9815347885814004,0.0
1.0,1.0,1.0,1.0,0.0
1.0,0.8251684811427245,1.0,1.0,0.0
1.0,0.0,1.0,0.3,1.0
0.0,0.0,1.0,0.0,0.0
1.0,0.0,1.0,1.0,1.0
0.0,0.0,0.9376594997878039,1.0,0.0
0.0,0.0,0.0,1.0,0.0
1.0,0.0,1.0,1.0,1.0
0.0,0.0,0.9991511719522232,1.0,0.0
0.0,0.0,1.0,0.31625566165902064,0.7435958731221328
1.0,0.0,0.9,0.0,0.0
0.0,0.0,1.0,1.0,1.0
1.0,0.3008503809463089,1.0,1.0,0.0
1.0,0.0,1.0,1.0,0.8016930925876516
1.0,1.0,1.0,1.0,0.0
1.0,1.0,1.0,1.0,1.0
1.0,0.0,0.9381172783593744,1.0,0.7000000000000001
0.0,0.0,0.9302791189487045,1.0,0.0
1.0,0.0,1.0,1.0,0.0
0.0,0.0,1.0,0.0,0.0
0.0,0.0,1.0,0.8728376326656665,0.9523141122496249
0.0,0.0,1.0,1.0,0.9059909692210378
1.0,0.0,1.0,1.0,0.9
1.0,0.0,1.0,1.0,0.0
1.0,0.0,1.0,1.0,0.9
0.0,0.0,0.9,1.0,0.0
0.0,0.0,1.0,0.0,1.0
1.0,1.0,0.9936386170864425,1.0,0.0
1.0,0.0,1.0,0.0,0.9
0.0,0.0,1.0,0.0,0.0
1.0,0.0,1.0,1.0,0.0
