project_name,project_url,num_commits,project_age_days,project_created_at,num_contributors,num_pull,num_issues,num_stargazers,num_watchers,num_forks,num_subscribers,Aggregate-Score,Binary-Artifacts,Branch-Protection,CI-Tests,CII-Best-Practices,Code-Review,Contributors,Dangerous-Workflow,Dependency-Update-Tool,Fuzzing,License,Maintained,Packaging,Pinned-Dependencies,SAST,Security-Policy,Signed-Releases,Token-Permissions,Vulnerabilities,num_bug_high,num_bug_medium,num_bug_low,num_bug_blocker,num_vulnerabilities_high,num_vulnerabilities_medium,num_vulnerabilities_low,num_vulnerabilities_blocker,num_code_smell_high,num_code_smell_medium,num_code_smell_low,num_code_smell_blocker
espressif/esptool,https://github.com/espressif/esptool,1266,3706,2014-09-06,112,191,1027,5556,5556,1378,231,2.5,1,3,10,0,0,10,0,0,0,10,10,-1,0,0,0,0,0,10,2,4,2,0,0,0,0,0,22,9,7,0
ethereum/eth-abi,https://github.com/ethereum/eth-abi,769,3175,2016-02-19,28,154,230,245,245,269,13,3.7,10,3,8,0,5,10,-1,0,0,10,0,-1,0,0,0,-1,-1,10,16,278,22,5,0,0,0,0,198,1602,1532,4
ethereum/eth-account,https://github.com/ethereum/eth-account,693,2470,2018-01-24,33,201,295,268,268,156,17,5.7,10,3,10,0,4,10,-1,10,0,10,10,-1,0,0,0,-1,-1,10,0,0,1,0,0,0,0,0,16,17,8,0
ethereum/py-evm,https://github.com/ethereum/py-evm,3785,2863,2016-12-27,87,1411,2067,2265,2265,649,100,4.1,10,3,10,0,5,10,-1,0,0,10,3,-1,0,0,0,-1,-1,10,0,6,0,0,0,0,0,1,1,2,4,0
eugeny/ajenti,https://github.com/eugeny/ajenti,2532,3431,2015-06-08,41,1,1,209,209,41,28,1.4,10,0,-1,0,0,10,-1,0,0,0,0,-1,0,0,0,-1,-1,0,0,1,0,9,0,0,0,1,260,531,208,0
excid3/python-apt,https://github.com/excid3/python-apt,2,5549,2009-08-20,2,1,10,64,64,41,37,3.0,10,0,0,0,5,0,-1,0,0,10,0,-1,-1,0,0,-1,-1,10,0,0,1,1,0,0,0,0,96,64,58,0
faucetsdn/ryu,https://github.com/faucetsdn/ryu,3354,4708,2011-12-09,97,129,201,1509,1509,1163,155,5.5,10,8,0,0,10,10,10,10,0,10,0,-1,0,0,0,-1,0,10,0,1,0,0,0,0,0,0,1,1,0,0
fedora-infra/bodhi,https://github.com/fedora-infra/bodhi,9309,5744,2009-02-06,116,3885,5780,153,153,195,23,5.8,10,1,10,0,1,10,10,10,0,10,10,-1,0,10,0,-1,0,10,4,20,1,1,2,0,0,0,116,106,98,3
fedora-infra/fedmsg,https://github.com/fedora-infra/fedmsg,1951,4654,2012-02-01,57,319,539,170,170,93,26,3.3,10,0,0,0,4,10,-1,0,0,10,0,-1,-1,0,0,-1,-1,10,11,48,0,5,0,0,0,2,202,1245,605,10
fedora-infra/python-fedora,https://github.com/fedora-infra/python-fedora,1868,4301,2013-01-19,42,199,235,33,33,43,18,3.8,10,0,0,0,5,10,-1,0,0,10,0,-1,-1,0,0,8,-1,10,4,0,0,0,0,0,0,1,7,1,2,0
felixschwarz/mjml-python,https://github.com/felixschwarz/mjml-python,198,1603,2020-06-09,6,26,56,78,78,16,4,4.3,10,3,10,0,0,10,10,0,0,10,3,-1,0,0,0,8,0,10,8,148,42,3,3,0,0,0,1902,1237,3822,9
figlief/ctx,https://github.com/figlief/ctx,7,3606,2014-12-15,1,1,1,2,2,2,1,2.6,10,0,-1,0,0,0,-1,0,0,10,0,-1,-1,0,0,-1,-1,10,0,0,0,0,0,0,0,0,5,6,2,0
flask-middleware/flask-security,https://github.com/flask-middleware/flask-security,2,91,2024-07-30,1,1,1,0,0,0,2,2.2,10,0,-1,0,0,0,-1,0,0,0,0,-1,-1,0,0,-1,-1,10,0,211,1,0,0,0,0,0,468,290,528,1
flink-extended/ai-flow,https://github.com/flink-extended/ai-flow,869,1111,2021-10-14,12,292,385,172,172,36,11,2.8,8,6,0,0,0,6,10,0,0,10,0,10,0,0,0,0,0,0,0,51,2,3,0,0,0,0,148,280,1399,0
fluture-js/fluture-node,https://github.com/fluture-js/fluture-node,83,2045,2019-03-25,2,12,15,19,19,1,4,4.0,10,8,0,0,1,10,10,0,0,10,0,-1,0,0,0,-1,0,10,0,5,0,0,0,0,0,0,20,46,46,3
fredrik-johansson/mpmath,https://github.com/fredrik-johansson/mpmath,1977,4710,2011-12-07,58,299,865,964,964,183,42,4.6,10,0,8,0,1,10,10,0,0,10,10,10,0,0,0,-1,0,10,0,0,0,0,0,0,0,0,53,13,4,0
freeopcua/opcua-asyncio,https://github.com/freeopcua/opcua-asyncio,2318,2280,2018-08-02,150,662,1251,1128,1128,362,54,6.7,10,3,10,0,8,10,10,10,0,10,10,10,0,9,0,-1,0,10,2,3,3,3,0,0,0,0,80,71,267,1
freetakteam/ui,https://github.com/freetakteam/ui,203,1522,2020-08-29,10,27,76,32,32,29,16,2.6,0,0,6,0,1,6,10,0,0,10,0,10,0,0,0,-1,0,5,6,348,37,11,1,0,0,0,2661,4322,9899,37
frostming/rediswrapper,https://github.com/frostming/rediswrapper,27,2735,2017-05-04,2,2,3,10,10,2,2,2.7,10,0,0,0,0,3,10,0,0,10,0,-1,0,0,0,-1,0,6,0,0,0,1,0,0,0,0,1,4,4,0
furlongm/openvpn-monitor,https://github.com/furlongm/openvpn-monitor,268,4456,2012-08-17,16,126,287,967,967,293,62,4.4,10,3,0,0,1,10,10,10,0,10,0,-1,0,7,0,0,0,10,1,0,0,1,0,0,0,0,11,9,3,0
fusionbox/django-widgy,https://github.com/fusionbox/django-widgy,1710,4312,2013-01-08,14,285,394,333,333,52,24,1.6,9,0,0,0,0,10,-1,0,0,9,0,-1,-1,0,0,-1,-1,0,0,3,0,0,3,0,0,0,3,13,21,0
ganga-devs/ganga,https://github.com/ganga-devs/ganga,14758,3313,2015-10-04,74,1457,2390,100,100,159,13,5.2,9,8,6,0,10,10,0,10,0,10,8,-1,0,0,0,-1,0,10,44,166,18,0,24,0,0,2,153,98,100,0
gevent/gevent,https://github.com/gevent/gevent,5999,4429,2012-09-13,90,642,2068,6246,6246,937,240,4.8,10,0,6,0,0,10,10,10,0,9,10,10,0,0,0,0,0,9,0,2,1,0,0,0,0,1,14,19,17,0
giampaolo/pyftpdlib,https://github.com/giampaolo/pyftpdlib,1456,3807,2014-05-28,32,111,651,1674,1674,264,53,4.1,10,0,7,0,0,6,10,0,0,10,10,-1,0,0,0,-1,0,10,0,2,2,2,1,0,0,0,50,62,124,1
git-big-picture/git-big-picture,https://github.com/git-big-picture/git-big-picture,1416,4976,2011-03-16,14,449,489,543,543,80,19,5.4,10,0,10,0,0,10,10,10,0,10,10,-1,5,0,0,-1,0,10,2,16,10,2,0,0,0,0,165,330,202,18
grahamdumpleton/mod_wsgi,https://github.com/grahamdumpleton/mod_wsgi,1588,3950,2014-01-05,32,59,908,1024,1024,268,60,4.1,10,0,0,0,1,10,10,0,0,10,10,-1,0,0,0,-1,0,10,0,0,0,0,0,0,0,0,27,27,44,4
gramaddict/bot,https://github.com/gramaddict/bot,722,1461,2020-10-29,13,157,393,1127,1127,178,37,4.3,10,3,5,0,0,10,10,10,0,10,0,-1,0,0,0,-1,0,8,0,0,0,0,0,0,0,0,4,1,8,0
graphite-project/graphite-web,https://github.com/graphite-project/graphite-web,4358,4558,2012-05-07,312,1646,2855,5898,5898,1257,269,6.1,10,3,10,0,2,10,10,10,0,10,10,-1,0,10,0,-1,0,10,0,0,0,0,0,0,0,1,3,21,13,0
guake/guake,https://github.com/guake/guake,2486,4550,2012-05-15,239,725,2238,4433,4433,575,149,5.1,10,6,3,0,5,10,10,10,0,10,8,10,0,0,0,-1,0,0,18,28,13,0,0,0,0,0,729,351,376,45
gventuri/pandas-ai,https://github.com/gventuri/pandas-ai,1079,556,2023-04-22,98,519,1245,13142,13142,1273,109,3.7,10,1,1,0,5,10,10,0,0,9,10,-1,0,0,0,-1,0,0,1,19,0,1,0,0,0,0,15,29,13,0
hail-is/hail,https://github.com/hail-is/hail,11597,3290,2015-10-27,79,12322,14743,979,979,246,56,6.5,5,8,8,0,10,10,-1,10,0,10,10,-1,-1,0,0,-1,-1,8,0,0,0,0,0,0,0,0,3,40,4,0
hanwentao/html2csv,https://github.com/hanwentao/html2csv,29,1943,2019-07-05,2,2,12,40,40,11,3,2.1,10,0,0,0,0,6,-1,0,0,10,0,-1,-1,0,0,-1,-1,4,1,136,8,9,11,0,0,0,547,1607,4236,24
hatchetation/freeipa,https://github.com/hatchetation/freeipa,6447,4277,2013-02-12,26,1,1,2,2,1,4,3.0,10,0,-1,0,0,10,-1,0,0,10,0,-1,-1,0,0,-1,-1,10,0,0,0,0,0,0,0,0,26,74,152,3
html5lib/html5lib-python,https://github.com/html5lib/html5lib-python,1612,4221,2013-04-09,56,320,575,1121,1121,283,50,5.0,10,8,1,0,7,10,10,0,10,10,0,-1,0,0,0,-1,0,10,0,0,0,0,0,0,0,0,2,1,5,0
humansignal/label-studio,https://github.com/humansignal/label-studio,3970,1960,2019-06-19,123,4160,6421,18995,18995,2371,177,3.7,8,2,10,0,5,10,0,10,0,10,10,-1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0
hydralabs/pyamf,https://github.com/hydralabs/pyamf,1602,5224,2010-07-12,10,53,70,158,158,93,22,2.4,10,0,0,0,0,10,-1,0,0,9,0,-1,0,0,0,0,-1,10,0,2,2,4,0,0,0,0,29,33,14,0
i3thuan5/tuitse-tsusin,https://github.com/i3thuan5/tuitse-tsusin,131,1760,2020-01-04,3,20,25,0,0,0,2,5.6,10,8,10,0,10,3,-1,0,0,10,0,-1,-1,10,0,-1,-1,10,13,7,1,2,0,18,0,0,135,326,471,0
ierror/django-js-reverse,https://github.com/ierror/django-js-reverse,334,4285,2013-02-04,29,69,69,539,539,100,18,3.3,10,0,0,0,3,10,10,0,0,10,0,-1,0,0,0,-1,0,8,17,153,3,8,4,0,0,2,3277,923,617,12
ijl/orjson,https://github.com/ijl/orjson,682,2169,2018-11-21,21,101,524,6204,6204,216,38,4.7,10,0,-1,0,0,10,10,0,10,10,10,-1,0,0,0,-1,0,10,0,1,0,1,1,0,0,0,2,7,8,0
ilanschnell/bsdiff4,https://github.com/ilanschnell/bsdiff4,197,4910,2011-05-21,4,7,24,117,117,26,7,3.9,10,0,0,0,0,0,10,0,0,9,8,10,0,0,0,-1,0,10,0,0,0,0,0,0,0,0,0,23,1,0
illagrenan/django-make-app,https://github.com/illagrenan/django-make-app,64,3112,2016-04-22,1,1,6,13,13,7,4,2.2,10,0,-1,0,0,10,-1,0,0,10,0,-1,-1,0,0,-1,-1,3,3,296,0,0,0,0,0,0,837,71483,47154,4516
impredicative/bitlyshortener,https://github.com/impredicative/bitlyshortener,221,2096,2019-02-02,1,1,18,26,26,12,3,3.1,10,0,-1,0,0,0,10,0,0,10,0,-1,0,0,0,-1,0,10,0,0,0,0,0,0,0,0,0,0,0,0
inveniosoftware/invenio-app,https://github.com/inveniosoftware/invenio-app,98,2797,2017-03-03,19,61,95,3,3,35,81,4.3,10,3,4,0,5,10,10,0,0,10,0,10,0,0,0,-1,0,10,1,4,0,0,0,0,0,0,24,43,46,0
inventree/inventree-python,https://github.com/inventree/inventree-python,694,1993,2019-05-16,16,173,247,27,27,35,10,3.8,10,3,10,0,2,6,10,0,0,10,10,-1,0,0,0,-1,0,0,7,0,0,0,1,0,0,0,10,12,31,0
ipsilon-project/ipsilon,https://github.com/ipsilon-project/ipsilon,790,2800,2017-02-28,17,1,1,3,3,1,2,2.8,10,0,-1,0,0,10,-1,0,0,10,0,-1,0,0,0,-1,-1,10,0,66,1,20,1,0,0,0,87,378,214,2
irmen/pyro3,https://github.com/irmen/pyro3,63,4141,2013-06-28,1,1,1,4,4,4,5,2.6,10,0,-1,0,0,0,-1,0,0,10,0,-1,-1,0,0,-1,-1,10,0,0,0,0,0,0,0,0,1,4,0,0
iterative/pydrive2,https://github.com/iterative/pydrive2,421,1750,2020-01-14,41,159,347,580,580,68,11,4.5,10,6,10,0,5,10,0,10,0,9,1,10,0,0,0,-1,0,10,2,13,0,1,0,0,0,0,258,189,93,130
jamesturk/django-markupfield,https://github.com/jamesturk/django-markupfield,273,5642,2009-05-19,16,31,60,194,194,40,10,4.2,10,0,5,0,0,10,10,10,0,9,0,-1,0,0,0,-1,0,10,0,0,0,1,0,0,0,0,1,4,4,0
jaspernbrouwer/powerline-gitstatus,https://github.com/jaspernbrouwer/powerline-gitstatus,70,3561,2015-01-29,12,21,49,383,383,53,13,3.8,10,0,0,0,2,10,-1,0,0,10,7,-1,-1,0,0,-1,-1,10,0,0,0,0,0,0,0,1,3,7,1,0
jaypipes/python-glanceclient,https://github.com/jaypipes/python-glanceclient,3,4626,2012-02-29,2,1,1,2,2,3,3,2.8,10,0,0,0,3,0,-1,0,0,9,0,-1,-1,0,0,-1,-1,10,0,0,0,0,0,0,0,0,2,0,0,0
jborg/attic,https://github.com/jborg/attic,600,4130,2013-07-09,13,93,397,1111,1111,104,50,2.7,10,0,0,0,1,6,-1,0,0,9,0,-1,-1,0,0,-1,-1,9,0,0,2,0,0,0,0,0,18,36,20,1
jdennis/keycloak-httpd-client-install,https://github.com/jdennis/keycloak-httpd-client-install,75,3175,2016-02-19,2,8,15,12,12,10,4,2.4,10,0,0,0,1,0,-1,0,0,10,0,-1,-1,0,0,0,-1,10,2,287,0,19,0,0,0,0,3151,961,433,65
jnwatson/py-lmdb,https://github.com/jnwatson/py-lmdb,1083,4285,2013-02-04,27,82,370,644,644,106,26,3.6,10,0,1,0,0,10,10,0,0,9,0,10,0,0,0,-1,0,10,0,2,0,1,0,0,0,0,48,28,38,0
joajfreitas/marcador,https://github.com/joajfreitas/marcador,126,2662,2017-07-16,3,23,43,42,42,5,2,3.5,10,6,10,0,0,0,10,0,0,10,0,-1,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
joblib/joblib,https://github.com/joblib/joblib,1524,5289,2010-05-07,119,747,1616,3855,3855,414,63,4.7,10,3,7,0,5,10,-1,0,10,10,3,-1,0,0,0,-1,-1,10,0,1,1,6,0,0,0,0,130,34,80,0
joestump/python-oauth2,https://github.com/joestump/python-oauth2,352,5487,2009-10-21,33,115,248,2993,2993,911,218,3.2,10,0,0,0,6,10,-1,0,0,10,0,-1,-1,0,0,-1,-1,7,0,26,0,0,0,0,0,0,6,8,126,0
joniles/mpxj,https://github.com/joniles/mpxj,3999,3432,2015-06-07,16,491,765,246,246,103,21,3.2,0,0,0,0,0,0,-1,10,0,10,10,-1,-1,0,0,0,-1,10,0,0,0,1,0,0,0,0,1,4,4,0
jrspruitt/ubi_reader,https://github.com/jrspruitt/ubi_reader,164,4004,2013-11-12,12,40,94,522,522,135,28,3.9,10,1,0,0,7,10,10,0,0,10,0,-1,0,0,0,-1,0,10,0,6,0,0,0,0,0,0,49,78,157,0
jupyterhub/binderhub,https://github.com/jupyterhub/binderhub,3511,2744,2017-04-26,88,1165,1858,2559,2559,390,78,5.6,10,3,9,0,8,10,10,10,0,10,10,-1,0,0,0,-1,0,5,0,53,2,7,1,0,0,0,149,415,58,1
jupyterhub/dockerspawner,https://github.com/jupyterhub/dockerspawner,725,3686,2014-09-26,56,244,519,489,489,308,27,4.7,10,3,9,0,1,10,10,10,0,10,0,10,0,0,0,-1,0,8,0,0,0,0,0,0,0,0,8,28,46,0
jupyterhub/firstuseauthenticator,https://github.com/jupyterhub/firstuseauthenticator,111,2927,2016-10-25,10,32,58,48,48,31,5,5.6,10,3,2,0,4,10,10,10,0,10,9,10,0,0,0,-1,0,10,0,162,1,2,0,0,0,1,71,37,49,0
jupyterhub/jupyter-server-proxy,https://github.com/jupyterhub/jupyter-server-proxy,1176,2933,2016-10-18,72,298,506,351,351,148,18,6.2,10,3,10,0,7,10,10,10,0,10,10,10,0,0,0,-1,0,10,0,6,3,1,8,0,0,1,77,117,138,0
jupyterhub/kubespawner,https://github.com/jupyterhub/kubespawner,1699,3265,2015-11-21,78,493,864,546,546,305,27,5.9,10,3,5,0,5,10,10,10,0,10,10,10,0,0,0,-1,0,10,124,2925,0,0,0,0,0,0,514,3538,21910,1
jupyterhub/nbgitpuller,https://github.com/jupyterhub/nbgitpuller,620,2715,2017-05-24,29,197,359,212,212,86,16,5.6,10,3,10,0,6,10,10,10,0,10,4,10,0,0,0,-1,0,10,4,4,0,3,0,0,0,0,119,62,32,0
jupyterhub/oauthenticator,https://github.com/jupyterhub/oauthenticator,1741,3689,2014-09-23,106,461,768,413,413,364,20,6.2,10,3,10,0,7,10,10,10,0,10,10,10,0,0,0,-1,0,10,3,35,5,4,0,0,0,0,190,105,426,0
jwilk-archive/ocrodjvu,https://github.com/jwilk-archive/ocrodjvu,1361,3441,2015-05-29,2,1,46,45,45,19,6,3.4,10,0,-1,0,0,0,10,0,0,10,0,-1,0,0,0,8,0,10,1,42,0,7,1,0,0,0,1393,499,274,24
kakwa/ldapcherry,https://github.com/kakwa/ldapcherry,725,3802,2014-06-02,10,27,71,225,225,70,15,3.9,10,0,0,0,3,0,10,10,0,10,0,-1,0,0,0,-1,0,9,1,4,3,2,0,0,0,0,31,33,37,0
kinto/kinto-attachment,https://github.com/kinto/kinto-attachment,863,3276,2015-11-10,14,657,727,43,43,8,6,5.9,10,6,10,0,6,10,10,10,0,10,5,10,0,0,0,-1,0,10,0,0,0,1,0,0,0,0,42,42,30,0
kiorky/soappy,https://github.com/kiorky/soappy,67,4999,2011-02-21,8,18,37,75,75,52,12,2.9,10,0,0,0,1,10,-1,0,0,9,0,-1,-1,0,0,-1,-1,10,2,17,0,13,1,0,0,0,84,157,99,1
kludex/python-multipart,https://github.com/kludex/python-multipart,188,4236,2013-03-25,23,124,180,326,326,58,13,6.4,10,3,10,0,4,10,10,10,10,9,10,10,0,0,0,-1,0,10,6,62,0,0,0,0,0,0,25,718,300,0
knugihk/whatsapp-chat-exporter,https://github.com/knugihk/whatsapp-chat-exporter,432,1388,2021-01-10,7,12,107,610,610,86,10,4.8,10,0,-1,0,0,6,10,0,0,10,10,10,0,0,0,0,10,10,0,0,0,0,0,0,0,0,9,1,4,0
koji-project/koji,https://github.com/koji-project/koji,7737,3280,2015-11-06,90,3,3,39,39,26,11,2.7,0,0,-1,0,0,10,-1,0,0,9,10,-1,0,0,0,-1,-1,10,22,295,12,10,2,0,0,0,4717,1365,1219,185
kozea/cairosvg,https://github.com/kozea/cairosvg,1003,4829,2011-08-10,36,96,429,764,764,150,50,3.8,10,0,7,0,1,10,10,0,0,10,4,-1,0,0,0,-1,0,10,0,0,0,0,0,0,0,0,0,0,0,0
kozea/radicale,https://github.com/kozea/radicale,2600,4828,2011-08-11,100,490,1497,3339,3339,432,102,4.7,10,0,10,0,1,10,10,0,0,10,10,10,0,0,0,-1,0,10,0,7,3,88,1,0,0,0,358,146,2292,1
kozea/weasyprint,https://github.com/kozea/weasyprint,5726,4830,2011-08-09,125,407,2282,7184,7184,680,132,4.1,10,0,10,0,1,10,10,0,0,10,10,-1,0,0,0,0,0,10,0,1,14,1,0,0,0,0,61,38,8,0
krateng/maloja,https://github.com/krateng/maloja,1719,2163,2018-11-27,24,61,362,1155,1155,67,16,3.2,10,0,0,0,0,10,10,0,0,10,0,10,5,0,0,-1,0,2,0,2,1,1,1,0,0,0,123,266,20,0
kurtmckee/feedparser,https://github.com/kurtmckee/feedparser,1406,5087,2010-11-26,46,215,476,1966,1966,342,46,5.8,10,3,10,0,2,10,10,10,0,9,10,-1,5,0,0,-1,0,10,0,0,0,0,0,0,0,0,0,0,0,0
latchset/kdcproxy,https://github.com/latchset/kdcproxy,82,3939,2014-01-16,8,42,64,60,60,22,10,3.7,10,3,0,0,5,10,10,0,0,10,0,-1,0,0,0,1,0,10,0,2,0,2,0,0,0,0,22,87,61,1
legrandin/pycrypto,https://github.com/legrandin/pycrypto,926,5042,2011-01-09,21,2,2,10,10,5,5,2.8,10,0,-1,0,0,10,-1,0,0,9,0,-1,-1,0,0,-1,-1,9,0,7,3,0,0,0,0,0,18,76,23,0
legrandin/pycryptodome,https://github.com/legrandin/pycryptodome,2966,3833,2014-05-02,127,231,810,2834,2834,502,66,5.6,10,0,10,0,0,10,10,0,10,9,10,-1,0,10,0,8,0,10,0,4,0,0,0,0,0,0,5,26,73,0
lenovo/antilles,https://github.com/lenovo/antilles,34,2540,2017-11-16,6,13,13,17,17,11,14,1.5,10,0,0,0,1,3,-1,0,0,10,0,-1,-1,0,0,0,-1,0,0,3,0,0,0,0,0,0,78,42,24,0
leo-editor/leo-editor,https://github.com/leo-editor/leo-editor,35075,3913,2014-02-11,44,1449,4136,1487,1487,155,48,5.0,9,7,0,0,4,10,-1,0,0,9,10,-1,-1,0,0,-1,-1,10,0,0,0,0,0,0,0,0,0,0,3,0
lepture/mistune,https://github.com/lepture/mistune,669,3906,2014-02-18,39,99,387,2582,2582,250,46,4.3,10,0,5,0,3,10,10,0,0,10,5,10,0,0,0,-1,0,10,0,154,1,0,0,0,0,0,56,70,67,1
lief-project/lief,https://github.com/lief-project/lief,2243,2784,2017-03-16,115,280,1101,4470,4470,622,129,4.0,7,0,0,0,0,10,10,0,10,10,10,-1,0,0,0,0,0,10,1,12,0,5,2,0,0,1,376,301,1004,2
liftoff/gateone,https://github.com/liftoff/gateone,859,4766,2011-10-12,27,54,757,6282,6282,925,288,2.7,10,0,0,0,1,10,-1,0,0,9,0,-1,0,0,0,-1,-1,10,6,348,37,11,1,0,0,0,2661,4322,9899,37
lingthio/flask-user,https://github.com/lingthio/flask-user,666,3905,2014-02-19,34,119,344,1059,1059,294,40,2.2,10,0,0,0,2,10,-1,0,0,10,0,-1,-1,0,0,-1,-1,2,0,0,0,0,0,0,0,0,0,6,7,0
linotp/linotp,https://github.com/linotp/linotp,7400,3815,2014-05-20,16,28,230,515,515,120,41,2.4,7,0,-1,0,0,10,-1,0,0,10,10,-1,0,0,0,-1,-1,0,0,1,3,0,0,0,0,0,29,36,35,0
linuxmint/aptdaemon,https://github.com/linuxmint/aptdaemon,14,919,2022-04-24,1,1,1,2,2,0,3,1.7,0,0,-1,0,0,6,-1,0,0,10,0,-1,-1,0,0,-1,-1,10,2,16,1,14,1,0,0,0,651,152,101,3
localstack/localstack,https://github.com/localstack/localstack,6426,2926,2016-10-25,427,6034,11689,56104,56104,4001,515,6.1,9,3,10,0,10,10,10,10,0,9,10,10,1,0,0,-1,0,7,0,2,0,0,0,0,0,0,0,15,12,0
mage-ai/mage-ai,https://github.com/mage-ai/mage-ai,5463,897,2022-05-16,131,4632,5487,7882,7882,759,62,4.7,8,0,9,0,7,10,10,0,0,10,10,10,0,9,0,-1,0,0,0,0,0,9,1,0,0,0,7,74,32,0
mapproxy/mapproxy,https://github.com/mapproxy/mapproxy,3734,4572,2012-04-23,96,627,1013,564,564,258,46,5.5,10,0,3,0,9,10,10,10,0,10,10,10,0,0,0,0,0,10,0,0,0,0,1,0,0,0,181,907,8,5
mardiros/pyshop,https://github.com/mardiros/pyshop,431,4338,2012-12-13,12,37,95,103,103,40,8,2.7,10,0,0,0,0,10,-1,0,0,10,0,-1,0,0,0,-1,-1,10,0,2,0,2,3,0,0,0,52,49,38,1
martinpitt/python-dbusmock,https://github.com/martinpitt/python-dbusmock,723,3527,2015-03-04,37,150,222,62,62,51,7,4.9,10,3,10,0,5,10,10,0,0,10,10,10,1,0,0,0,0,10,0,27,1,1,4,0,0,0,102,64,273,5
matthiask/html-sanitizer,https://github.com/matthiask/html-sanitizer,262,2739,2017-04-30,12,14,48,127,127,23,4,3.5,10,0,7,0,1,10,10,0,0,10,0,-1,0,0,0,-1,0,10,0,2,1,7,0,0,0,0,269,173,54,1
mchehab/zbar,https://github.com/mchehab/zbar,744,2274,2018-08-08,41,103,287,975,975,204,33,3.0,10,0,0,0,0,10,10,0,0,10,0,-1,0,0,0,0,0,10,0,5,0,1,0,0,0,0,45,147,4292,0
